"method","loc","cyclo","calls","nbd","param"
"br.com.trevisantecnologia.importer.dao.ServiceLocalItemDao.deleteRelationshipServiceLocalItem(ServiceLocalItem serviceLocalItem)",17,3,14,0,1
"br.com.trevisantecnologia.importer.dao.ScheduleTypeActivityDao.deleteRelationshipScheduleTypeActivity(ScheduleTypeActivity scheduleTypeActivity)",15,3,13,0,1
"br.com.trevisantecnologia.importer.converter.IdiomConverter.convert(Class<?> type, String locale)",14,3,4,0,2
"br.com.trevisantecnologia.importer.converter.MediaConverter.convert(Class<?> type, String urlToImport)",13,3,3,0,2
"br.com.trevisantecnologia.importer.dao.ScheduleItemDao.deleteRelationshipScheduleItem(ScheduleItem scheduleItem)",12,3,14,0,1
"br.com.trevisantecnologia.importer.dao.ItineraryServiceLocalDao.findByServiceLocalAndItinerary(String itineraryIdentifier, String serviceLocalIdentifier)",11,3,20,0,2
"br.com.trevisantecnologia.importer.dao.ServiceLocalActivityDao.findByServiceLocalAndActivity(String serviceLocalIdentifier, String activityIdentifier)",11,3,20,0,2
"br.com.trevisantecnologia.importer.dao.ServiceLocalTeamDao.findByServiceLocalAndItinerary(String teamIdentifier, String serviceLocalIdentifier)",11,3,20,0,2
"br.com.trevisantecnologia.importer.dao.ServiceLocalDao.verifyAlreadyExistsBy(ServiceLocal serviceLocal, Criterion... criterions)",11,3,16,0,2
"br.com.trevisantecnologia.importer.dao.AgentActivityDao.findByAgentAndActivity(String agentIdentifier, String activityIdentifier)",10,3,20,0,2
"br.com.trevisantecnologia.importer.dao.ItineraryActivityDao.findByActivityAndItinerary(String itineraryIdentifier, String activityIdentifier)",10,3,20,0,2
"br.com.trevisantecnologia.importer.dao.ItineraryAgentDao.findByAgentAndItinerary(String itineraryIdentifier, String agentIdentifier)",10,3,20,0,2
"br.com.trevisantecnologia.importer.dao.SectionSubGroupDao.findBySectionAndSubGroup(String sectionIdentifier, String subGroupIdentifier)",10,3,20,0,2
"br.com.trevisantecnologia.importer.dao.ServiceLocalItemDao.findByServiceLocalAndItem(String serviceLocalIdentifier, String itemIdentifier)",10,3,20,0,2
"br.com.trevisantecnologia.importer.dao.AgentTeamDao.findAgentByTeam(String agentIdentifier, String teamIdentifier)",9,3,18,0,2
"br.com.trevisantecnologia.importer.dao.ScheduleItemDao.findByScheduleAndItem(String scheduleIdentifier, String itemIdentifier)",9,3,18,0,2
"br.com.trevisantecnologia.importer.converter.CharacterConverter.convert(Class<?> type, String value)",9,3,3,0,2
"br.com.trevisantecnologia.importer.validator.TimeZoneLocationValidator.isValid(String value)",9,3,2,0,1
"br.com.trevisantecnologia.importer.dao.ScheduleActivityDao.findByScheduleAndActivity(String scheduleIdentifier, String activityIdentifier)",8,3,20,0,2
"br.com.trevisantecnologia.importer.converter.BooleanConverter.getBooleanValue(String value)",8,3,2,0,1
"br.com.trevisantecnologia.importer.converter.ItineraryExclusiveConverter.getValueByBoolean(String value)",8,3,2,0,1
"br.com.trevisantecnologia.importer.dao.SectionItemDao.findBySectionAndItem(String sectionIdentifier, String itemIdentifier)",7,3,17,0,2
"br.com.trevisantecnologia.importer.service.SectionItemService.beforeValidation(SectionItem sectionItem)",7,3,5,0,1
"br.com.trevisantecnologia.importer.validator.business.rules.agent.ClientLicensesLimit.isValid(Agent agent)",7,3,3,0,1
"br.com.trevisantecnologia.importer.service.AgentTeamService.findCurrentReference(AgentTeam agentTeam)",6,3,9,0,1
"br.com.trevisantecnologia.importer.service.ScheduleActivityService.findCurrentReference(ScheduleActivity scheduleActivity)",6,3,9,0,1
"br.com.trevisantecnologia.importer.service.SectionItemService.findCurrentReference(SectionItem sectionItem)",5,3,9,0,1
"br.com.trevisantecnologia.importer.service.SectionSubGroupService.findCurrentReference(SectionSubGroup sectionSubGroup)",5,3,9,0,1
"br.com.trevisantecnologia.importer.validator.business.rules.agent.GeoLocation.isValid(Agent agent)",4,3,5,0,1
"br.com.trevisantecnologia.importer.validator.business.rules.agent.LoginUpdate.isValid(Agent agent)",4,3,4,0,1
"br.com.trevisantecnologia.importer.validator.business.rules.agent.PasswordIsEmpty.isValid(Agent agent)",4,3,3,0,1
"br.com.trevisantecnologia.importer.service.AbstractCustomFieldedImportService.buildCustomFieldValueToSave(CustomField customField, T instance)",12,2,16,4,2
"br.com.trevisantecnologia.importer.service.AbstractImportService.insertOrUpdateReference(T instance, T currentInstance)",12,2,5,4,2
"br.com.trevisantecnologia.importer.service.AbstractCustomFieldedImportService.verifyCustomFields(T instance)",11,2,7,4,1
"br.com.trevisantecnologia.importer.service.AbstractImportService.findReferenceByIdOrAlternativeIdentifier(AbstractService<K> referenceService, K reference)",5,2,5,4,2
"br.com.trevisantecnologia.importer.service.AbstractCustomFieldedImportService.getMediaExternalUrl(Media media)",5,2,4,4,1
"br.com.trevisantecnologia.importer.service.AbstractCustomFieldedImportService.buildAndSaveCustomFieldValuesListFor(T instance, CustomField customField, boolean isNewEntity)",5,2,3,4,3
