"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"br.com.trevisantecnologia.umov.watcher.dao.impl.ScheduleImportDaoImpl",35,2,2,3,10,4,2,7,1
"br.com.trevisantecnologia.umov.watcher.feeder.domain.Feeder",35,1,1,2,12,6,1,6,2
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.smartpush.notification.param.ParamAndroid",34,4,3,11,1,1,1,4,1
"br.com.trevisantecnologia.umov.watcher.feeder.domain.operations.Operation",33,6,1,6,6,5,5,6,2
"br.com.trevisantecnologia.umov.watcher.serialize.ConditionConverter",33,6,3,6,6,1,1,4,0
"br.com.trevisantecnologia.umov.watcher.service.ItemService",33,4,3,5,8,5,1,6,2
"br.com.trevisantecnologia.umov.watcher.serialize.ScheduleConverter",33,3,3,5,7,2,1,4,0
"br.com.trevisantecnologia.umov.watcher.http.HttpUtil",33,2,1,3,6,0,1,3,0
"br.com.trevisantecnologia.umov.watcher.feeder.domain.operations.OperationFactory",33,1,1,5,3,1,1,2,4
"br.com.trevisantecnologia.umov.watcher.model.SubGroup",32,6,6,6,3,0,1,0,3
"br.com.trevisantecnologia.umov.watcher.task.SendMailTask",32,4,2,5,7,5,1,7,2
"br.com.trevisantecnologia.umov.watcher.service.ServiceLocalItemService",32,4,4,4,10,8,1,10,1
"br.com.trevisantecnologia.umov.watcher.serialize.JodaDateTimeConverter",32,3,3,3,9,0,1,3,3
"br.com.trevisantecnologia.umov.watcher.service.ClientService",32,3,3,5,7,4,1,6,2
"br.com.trevisantecnologia.umov.watcher.dao.impl.ScheduleExportDaoImpl",32,3,2,4,9,3,2,8,0
"br.com.trevisantecnologia.umov.watcher.dao.impl.ClientDaoImpl",32,2,1,2,5,3,1,7,0
"br.com.trevisantecnologia.umov.watcher.task.SendTaskFactory",31,2,1,6,5,3,0,4,3
"br.com.trevisantecnologia.umov.watcher.serialize.MailConverter",30,5,3,5,7,2,1,6,0
"br.com.trevisantecnologia.umov.watcher.eca.action.manager.impl.ActionManagerImpl",30,4,4,4,8,2,1,3,2
"br.com.trevisantecnologia.umov.watcher.feeder.domain.builder.ServiceLocalBuilder",30,4,4,5,6,4,0,6,1
"br.com.trevisantecnologia.umov.watcher.ioc.guice.HibernateSessionProvider",30,2,1,3,10,3,0,5,1
"br.com.trevisantecnologia.umov.watcher.feeder.aplication.FeederService",30,2,1,3,7,5,1,6,3
"br.com.trevisantecnologia.umov.watcher.mapping.EntityMapperFactory",29,2,2,9,4,2,1,3,1
"br.com.trevisantecnologia.umov.watcher.dao.impl.CustomEntityEntryDaoImpl",29,2,1,5,9,4,1,8,0
"br.com.trevisantecnologia.umov.watcher.interceptor.TransactionAnnotationInterceptor",29,1,1,3,6,0,1,1,1
"br.com.trevisantecnologia.umov.watcher.service.ActivityHistoryService",27,5,5,5,7,4,2,4,1
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.smartpush.filter.RulesFactory",27,2,2,5,5,2,1,4,3
"br.com.trevisantecnologia.umov.watcher.io.ImporterFileFilter",26,5,2,5,3,0,1,3,3
"br.com.trevisantecnologia.umov.watcher.monitor.FeederMonitor",26,4,3,4,5,2,1,3,1
"br.com.trevisantecnologia.umov.watcher.mapping.AbstractEntityMapper",26,4,1,5,5,3,4,5,1
"br.com.trevisantecnologia.umov.watcher.serialize.ActivityConverter",26,4,3,4,6,1,1,5,0
"br.com.trevisantecnologia.umov.watcher.service.ConnectorService",26,3,1,7,6,3,2,4,1
"br.com.trevisantecnologia.umov.watcher.serialize.EntityConverter",25,6,0,6,2,1,4,2,0
"br.com.trevisantecnologia.umov.watcher.model.ScheduleGPSContext",25,6,6,6,1,0,5,0,3
"br.com.trevisantecnologia.umov.watcher.model.Authentication",25,6,6,6,1,0,1,0,3
"br.com.trevisantecnologia.umov.watcher.serialize.BodyConverter",25,3,3,4,7,1,1,4,0
"br.com.trevisantecnologia.umov.watcher.serialize.SmsConverter",25,3,3,4,7,1,1,4,0
"br.com.trevisantecnologia.umov.watcher.serialize.SubjectConverter",25,3,3,4,7,1,1,4,0
"br.com.trevisantecnologia.umov.watcher.service.CustomEntityService",25,3,3,5,7,6,1,10,1
"br.com.trevisantecnologia.umov.watcher.interceptor.TransactionInterceptor",25,1,1,2,5,0,1,1,1
"br.com.trevisantecnologia.umov.watcher.feeder.domain.model.FeedCriteria",24,6,6,6,0,0,4,1,3
"br.com.trevisantecnologia.umov.watcher.validators.ScheduleImageImportValidator",24,4,4,7,3,2,1,4,0
"br.com.trevisantecnologia.umov.watcher.model.Partner",24,4,4,4,3,0,0,0,2
"br.com.trevisantecnologia.umov.watcher.monitor.schedule.notification.ScheduleNotificationMonitor",24,3,2,3,6,3,1,4,2
"br.com.trevisantecnologia.umov.watcher.feeder.domain.operations.InsertOrUpdate",24,3,0,4,3,2,0,4,2
"br.com.trevisantecnologia.umov.watcher.eca.action.schedule.notification.TranslatorFactory",24,2,1,3,6,5,1,6,2
"br.com.trevisantecnologia.umov.watcher.dao.impl.ItemDaoImpl",23,1,1,2,7,3,1,5,0
"br.com.trevisantecnologia.umov.watcher.mapping.ActivityConditionMapper",22,4,1,4,2,2,0,5,0
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.InfrastructureFactory",22,4,4,4,3,2,3,2,2
"br.com.trevisantecnologia.umov.watcher.monitor.FinishScheduleBaseOnGPSMonitor",22,3,2,3,5,3,1,4,1
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.model.FilterReturnFromField",22,2,1,4,1,1,1,3,1
"br.com.trevisantecnologia.umov.watcher.model.ScheduleSituation",21,4,4,4,3,0,3,0,1
"br.com.trevisantecnologia.umov.watcher.template.TemplateEngine",21,3,2,3,5,0,1,3,2
"br.com.trevisantecnologia.umov.watcher.builder.XStreamBuilder",21,3,2,1,2,0,0,0,0
"br.com.trevisantecnologia.umov.watcher.dao.impl.FilterCancel",21,2,1,4,1,1,0,3,1
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.actions.Action",20,3,1,3,5,3,2,4,2
"br.com.trevisantecnologia.umov.watcher.service.ScheduleActivityService",20,2,2,3,5,4,1,6,1
"br.com.trevisantecnologia.umov.watcher.model.Body",20,2,2,4,3,0,4,1,1
"br.com.trevisantecnologia.umov.watcher.dao.impl.MediaDaoImpl",20,2,2,2,7,2,1,3,0
"br.com.trevisantecnologia.umov.watcher.feeder.oldway.FeederFactory",20,1,1,3,6,2,1,2,1
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.actions.ActionFactory",20,1,1,3,4,3,2,3,3
"br.com.trevisantecnologia.umov.watcher.dao.impl.ServiceLocalItemDao",19,3,2,3,5,2,1,4,0
"br.com.trevisantecnologia.umov.watcher.io.FileChecksumGenerator",19,1,1,1,6,0,2,1,0
"br.com.trevisantecnologia.umov.watcher.dao.impl.ScheduleActivityDaoImpl",19,1,1,1,6,3,2,4,0
