"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa","lcom3"
"org.hibernate.test.where.annotations.LazyManyToManyNonUniqueIdWhereTest",372,34,32,102,28,2,0,7,14,1.0043290043290045
"org.hibernate.cfg.AbstractPropertyHolder",372,29,11,100,27,7,3,11,13,0.7857142857142857
"org.hibernate.boot.model.source.internal.hbm.EntityHierarchySourceImpl",371,45,39,38,27,14,2,18,11,0.9152892561983471
"org.hibernate.test.notfound.RequiredLazyNotFoundTest",369,46,42,161,30,5,0,10,17,0.9856209150326797
"org.hibernate.engine.internal.TwoPhaseLoad",369,13,8,54,35,30,5,32,1,1.0
"org.hibernate.internal.util.collections.ArrayHelper",367,43,41,98,12,3,77,10,11,0.8809523809523809
"org.hibernate.envers.demo.TestConsole",367,19,2,59,15,4,1,8,1,1.0
"org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl",366,32,24,56,26,14,17,29,24,0.6612903225806451
"org.hibernate.test.bytecode.enhancement.lazy.proxy.ProxyDeletionTest",361,46,43,124,25,6,0,8,20,0.7888888888888889
"org.hibernate.boot.spi.AbstractDelegatingSessionFactoryBuilder",360,67,65,67,23,14,2,16,1,1.0
"org.hibernate.boot.spi.AbstractDelegatingSessionFactoryOptions",359,82,81,82,27,14,1,16,1,1.0
"org.hibernate.boot.internal.MetadataImpl",359,50,49,67,43,34,4,38,19,0.8163265306122449
"org.hibernate.boot.model.source.internal.hbm.RelationalValueSourceHelper",358,26,22,60,14,7,1,12,0,0.0
"org.hibernate.jpamodelgen.util.TypeUtils",358,25,16,66,23,2,6,12,4,0.9895833333333334
"org.hibernate.event.internal.MergeContextTest",357,31,29,29,18,3,0,9,4,0.9666666666666667
"org.hibernate.service.internal.AbstractServiceRegistryImpl",357,28,14,72,28,18,2,25,11,0.8653198653198653
"org.hibernate.hql.internal.ast.tree.SelectClause",354,21,11,84,13,6,6,10,11,0.75
"org.hibernate.envers.test.integration.query.SimpleQuery",352,23,22,24,19,9,0,11,5,0.9090909090909091
"org.hibernate.envers.strategy.internal.ValidityAuditStrategy",352,18,10,37,43,32,1,39,2,0.9705882352941176
"org.hibernate.test.ops.multiLoad.MultiLoadTest",349,27,22,32,34,12,0,18,3,0.9615384615384616
"org.hibernate.event.internal.AbstractSaveEventListener",349,17,1,47,31,26,4,31,3,0.9375
"org.hibernate.test.procedure.PostgreSQLStoredProcedureTest",349,9,8,19,28,6,0,7,0,0.0
"org.hibernate.test.annotations.manytoone.ManyToOneTest",348,13,11,13,21,13,0,15,0,0.0
"org.hibernate.dialect.H2Dialect",347,39,38,38,34,29,171,35,5,0.9736842105263158
