"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"me.umov.business.application.controller.activityhistory.ActivityHistoryControllerTest",32,2,2,2,10,2,0,2,4
"me.umov.business.application.service.IntegrationService",32,1,1,7,8,5,9,8,1
"me.umov.business.application.controller.workcycle.ReplaceWorkCycleServiceLocalRequest",31,8,8,8,0,0,0,0,3
"me.umov.business.application.model.fixture.ServiceLocalModelFixture",31,7,7,7,1,1,10,1,1
"me.umov.business.application.model.fixture.CustomFieldValueModelFixture",31,7,7,7,1,1,6,1,1
"me.umov.business.application.controller.servicelocal.ServiceLocalRelationship",31,7,7,7,1,0,1,0,3
"me.umov.business.application.model.fixture.RecurrenceConfigurationFixture",31,6,6,6,5,3,3,3,1
"me.umov.business.application.model.fixture.TaskRecurrenceConfigurationFixture",31,6,6,6,5,3,3,3,1
"me.umov.business.application.model.type.TaskSituationTest",31,6,6,6,3,0,0,1,0
"me.umov.business.domain.rule.task.ShouldHaveOneAgentWhenOnlyOneAgentTeam",31,3,3,4,8,5,5,6,3
"me.umov.business.domain.rule.task.ShouldHaveNoTaskInDate",31,3,3,4,8,5,8,6,3
"me.umov.business.domain.rule.task.ShouldHaveTeamTest",31,2,2,2,9,4,0,4,1
"me.umov.business.domain.rule.task.ShouldBeActiveTest",31,2,2,2,9,4,0,4,1
"me.umov.business.infrastructure.jpa.LocalTimeConverter",31,2,2,6,6,0,2,2,2
"me.umov.business.application.controller.workcycle.CreateWorkCycleResponse",30,6,6,2,1,0,1,0,4
"me.umov.business.utils.specification.rule.RuleMessageTest",30,3,3,3,6,1,0,1,0
"me.umov.business.utils.specification.domain.SpecificationResultTest",30,3,3,3,7,1,0,1,0
"me.umov.business.utils.specification.domain.AndSpecificationTest",30,3,3,1,8,3,0,3,2
"me.umov.business.domain.itinerary.specification.ShouldHaveItineraryScheduleInitialDateGreaterThanTodayTest",30,3,3,3,8,3,0,3,1
"me.umov.business.domain.rule.task.ShouldHaveServiceLocal",30,3,3,6,7,4,7,5,2
"me.umov.business.application.interceptor.JWTAuthorizationInterceptor",30,2,1,5,8,1,1,3,2
"me.umov.business.domain.itinerary.specification.ShouldServiceLocalHaveFinalHourGreaterThenInitialHour",30,1,1,5,14,6,1,8,0
"me.umov.business.application.controller.servicelocal.ServiceLocalController",30,1,1,1,13,5,1,6,2
"me.umov.business.application.model.fixture.RuleRequestDTOFixture",29,6,6,6,3,1,3,1,1
"me.umov.business.application.model.fixture.CustomFieldModelFixture",29,6,6,6,3,1,5,1,1
"me.umov.business.application.model.fixture.TaskActivityModelFixture",29,6,6,6,3,3,4,3,1
"me.umov.business.application.controller.team.TeamRelationship",29,6,6,6,2,1,4,3,3
"me.umov.business.application.model.dto.AgentJourneyHoursDTOTest",29,4,4,4,4,1,0,2,0
"me.umov.business.application.exception.DeleteException",29,4,4,5,5,1,4,4,2
"me.umov.business.utils.specification.domain.OrSpecificationTest",29,3,3,1,7,3,0,3,2
"me.umov.business.domain.rule.task.ShouldHaveValidTeamTest",29,3,3,3,8,3,0,3,0
"me.umov.business.domain.rule.task.ShouldHaveValidAgentTest",29,3,3,3,8,3,0,3,0
"me.umov.business.infrastructure.cron.RundeckRestConfiguration",29,3,1,3,10,1,1,3,0
"me.umov.business.domain.rule.task.ShouldHaveValidAgent",29,3,3,5,7,4,6,5,2
"me.umov.business.domain.rule.task.ShouldHaveValidTeam",29,3,3,5,7,4,5,5,2
"me.umov.business.domain.rule.task.ShouldHaveValidTaskType",29,3,3,4,7,4,6,5,2
"me.umov.business.infrastructure.jpa.ExportSituationConverterTest",29,2,2,2,7,1,0,1,0
