"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"me.umov.jaiminho.fixture.SimpleMailMessageFixture",11,2,2,2,1,0,1,0,1
"me.umov.jaiminho.domain.event.trigger.NotificationSent",10,6,6,6,1,0,5,1,0
"me.umov.jaiminho.infrastructure.dao.notification.PlataformEventRepository",10,2,2,2,4,1,4,2,0
"me.umov.jaiminho.domain.validators.BusinessValidator",10,2,1,3,1,0,1,1,0
"me.umov.jaiminho.domain.exception.JaiminhoBusinessException",10,2,2,2,0,0,13,1,1
"me.umov.jaiminho.infrastructure.configuration.NotificationBlacklistConfigurationTest",10,1,1,1,2,0,0,0,0
"me.umov.jaiminho.infrastructure.business.RequestBuilder",10,1,1,1,3,0,0,0,0
"me.umov.jaiminho.architecture.IgnoreTests",9,1,1,1,2,0,0,1,0
"me.umov.jaiminho.infrastructure.dao.sentinel.MessageLogRepository",9,1,1,1,4,1,2,2,0
"me.umov.jaiminho.domain.ports.Reprocess",7,3,3,3,1,0,5,0,0
"me.umov.jaiminho.infrastructure.producer.ProducerQueueBuilder",7,2,2,2,2,2,5,2,0
"me.umov.jaiminho.domain.ports.IHttp",7,2,2,2,2,1,4,1,0
"me.umov.jaiminho.infrastructure.dao.HistoryItemDao",7,1,1,1,3,1,2,2,0
"me.umov.jaiminho.application.dto.EntityDTO",7,1,1,1,0,0,1,0,1
"me.umov.jaiminho.application.sqs.service.LimitException",7,1,1,1,0,0,3,1,1
"me.umov.jaiminho.infrastructure.configuration.mongo.NotificationMongoConfig",7,0,0,1,2,0,0,0,0
"me.umov.jaiminho.infrastructure.configuration.mongo.SentinelMongoConfig",7,0,0,1,2,0,0,0,0
"me.umov.jaiminho.infrastructure.dao.ActionRuleRepository",7,0,0,1,3,1,5,2,0
"me.umov.jaiminho.infrastructure.dao.RuleLogDao",7,0,0,1,3,1,0,2,0
"me.umov.jaiminho.infrastructure.dao.entity.UsesCustomField",6,3,3,3,0,0,5,0,0
"me.umov.jaiminho.domain.event.trigger.DomainEvent",6,3,3,3,0,0,5,0,0
"me.umov.jaiminho.infrastructure.producer.aws.MessageSQS",6,2,2,2,1,0,3,0,0
"me.umov.jaiminho.infrastructure.dao.SMSDao",6,2,2,2,1,1,3,1,0
"me.umov.jaiminho.infrastructure.dao.HistoryRepository",6,2,2,2,1,1,6,1,0
"me.umov.jaiminho.anticorruption.xstreamadapter.facade.TranslatorMessage",6,1,1,1,2,2,5,2,0
"me.umov.jaiminho.infrastructure.http.authentication.factor.FactorAuthentication",6,1,1,1,2,2,3,2,0
"me.umov.jaiminho.infrastructure.http.authentication.exception.FactorAuthenticationNotDefinedException",6,1,1,1,0,0,1,1,0
"me.umov.jaiminho.infrastructure.dao.SystemParameterDao",6,1,1,1,2,1,0,2,0
"me.umov.jaiminho.domain.ports.ISms",6,1,1,1,2,2,3,2,0
"me.umov.jaiminho.domain.exception.MailValidationException",6,1,1,1,0,0,0,1,0
"me.umov.jaiminho.domain.exception.BlacklistValidationException",6,1,1,1,0,0,2,1,0
"me.umov.jaiminho.application.sqs.ConverterMessageToNotification",6,1,1,1,2,2,6,2,0
"me.umov.jaiminho.domain.ports.ApplicationListener",5,2,2,2,0,0,8,0,0
"me.umov.jaiminho.anticorruption.xstreamadapter.facade.NotificationTranslatorFactory",5,1,1,1,1,1,3,1,0
"me.umov.jaiminho.domain.ports.IMailService",5,1,1,1,1,1,3,1,0
"me.umov.jaiminho.domain.ports.NotificationRepository",5,1,1,1,1,1,5,1,0
"me.umov.jaiminho.domain.ports.IFactorAuthentication",5,1,1,1,1,1,2,1,0
"me.umov.jaiminho.domain.ports.Jaiminho",5,1,1,1,1,1,5,1,0
"me.umov.jaiminho.domain.event.trigger.Log",5,1,1,1,1,0,6,1,0
"me.umov.jaiminho.domain.event.trigger.NotificationWasPerformed",5,1,1,1,1,1,3,3,0
"me.umov.jaiminho.domain.Deliverable",5,1,1,1,1,1,3,1,0
"me.umov.jaiminho.application.sqs.FactoryConverters",5,1,1,1,1,1,4,1,0
"me.umov.jaiminho.infrastructure.dao.SMSRepository",5,0,0,1,2,1,0,2,0
"me.umov.jaiminho.infrastructure.dao.HistoryDao",5,0,0,1,2,1,0,2,0
"me.umov.jaiminho.infrastructure.producer.ProducerQueue",4,1,1,1,0,0,5,0,0
"me.umov.jaiminho.infrastructure.dao.PersinstenceHistory",4,1,1,1,0,0,1,0,0
