"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"one.util.huntbugs.detect.ToArrayDowncast",36,1,1,9,12,4,0,4,1
"one.util.huntbugs.flow.EnumConstant",35,6,6,9,2,1,1,3,2
"one.util.huntbugs.testdata.TestCloneContract",35,4,2,5,2,0,1,2,1
"one.util.huntbugs.testdata.TestUnreachableCatch",35,3,3,3,2,0,0,1,0
"one.util.huntbugs.detect.NoRuntimeRetention",35,1,1,9,13,3,0,3,1
"one.util.huntbugs.testdata.TestStartInConstructor",34,6,5,14,2,0,1,3,0
"one.util.huntbugs.testdata.TestReturnNull",34,5,5,8,3,0,0,3,0
"one.util.huntbugs.testdata.TestSyncGetClass",34,4,4,4,2,0,0,2,1
"one.util.huntbugs.detect.SwingProblems",34,2,2,11,11,3,0,3,0
"one.util.huntbugs.testdata.TestNumberConstructor",33,7,7,7,2,0,0,0,0
"one.util.huntbugs.testdata.TestSameIfChain",33,3,3,9,2,0,0,2,1
"one.util.huntbugs.registry.AbstractTypeDatabase",32,7,3,7,6,0,6,3,2
"one.util.huntbugs.detect.EmptySync",32,1,1,8,9,2,0,2,0
"one.util.huntbugs.detect.UselessVoidMethod",32,1,1,12,12,3,0,3,0
"one.util.huntbugs.testdata.TestAppendObjectOutputStream",31,4,4,5,7,0,0,0,0
"one.util.huntbugs.detect.AbandonedStream",31,1,1,7,10,3,0,3,0
"one.util.huntbugs.detect.InitializerRefersSubclass",31,1,1,11,11,4,0,4,0
"one.util.huntbugs.testdata.TestIncorrectVarArg",29,6,4,6,4,0,0,2,0
"one.util.huntbugs.repo.FilteredRepository",29,5,5,3,2,0,1,2,2
"one.util.huntbugs.testdata.TestFloatNaN",29,5,5,9,1,0,0,1,0
"one.util.huntbugs.testdata.TestStringUsage",29,5,5,6,2,0,0,2,1
"one.util.huntbugs.testdata.TestBadMonitorObject",29,4,4,4,1,0,0,1,0
"one.util.huntbugs.testdata.TestCheckReturnValue",29,4,4,6,5,0,0,0,0
"one.util.huntbugs.testdata.TestUselessVoidMethod",29,4,4,8,2,0,0,0,2
"one.util.huntbugs.output.XmlReportWriter",29,2,2,2,8,0,1,1,1
"one.util.huntbugs.flow.etype.ComplexType",28,7,4,11,2,0,2,2,1
"one.util.huntbugs.warning.WarningType",28,6,6,6,1,0,14,0,3
"one.util.huntbugs.flow.Exceptional",28,5,5,8,1,0,3,3,1
"one.util.huntbugs.detect.AverageComputation",28,2,1,6,8,3,0,5,0
"one.util.huntbugs.MessagesTest",28,2,2,2,9,5,0,5,0
"one.util.huntbugs.detect.DroppedExceptionObject",28,1,1,7,11,4,0,4,0
"one.util.huntbugs.detect.FloatingPointNaN",28,1,1,6,8,3,0,3,1
"one.util.huntbugs.testdata.TestLockProblems",27,5,5,5,4,0,0,1,0
"one.util.huntbugs.registry.ElementContext",27,3,2,6,2,2,3,3,2
"one.util.huntbugs.testdata.TestNoRuntimeRetention",27,3,3,3,7,0,0,3,0
"one.util.huntbugs.detect.JcipProblems",27,2,2,9,8,1,0,2,0
"one.util.huntbugs.util.Variables",27,1,1,1,5,0,0,0,1
"one.util.huntbugs.db.Mutability",26,3,2,8,5,1,2,2,0
"one.util.huntbugs.detect.ExceptionalExpression",26,1,1,3,10,5,0,5,0
"one.util.huntbugs.testdata.TestSqlBadArgument",25,4,4,5,5,0,0,0,0
"one.util.huntbugs.detect.RedundantInterfaces",25,1,1,7,7,3,0,3,0
"one.util.huntbugs.util.Annotations",25,1,1,11,4,0,4,3,1
"one.util.huntbugs.AsserterTest",25,1,1,1,5,3,0,3,0
"one.util.huntbugs.testdata.TestStaticFieldNonThreadSafe",25,1,1,1,6,0,0,1,5
"one.util.huntbugs.testdata.TestToArrayDowncast",24,4,4,4,4,0,0,2,0
"one.util.huntbugs.RuleTest",24,1,1,1,9,6,0,6,0
"one.util.huntbugs.detect.NewGetClass",23,1,1,4,9,2,0,2,1
"one.util.huntbugs.flow.TrueFalse",21,5,5,7,0,0,12,0,1
"one.util.huntbugs.testdata.TestCompareContract",21,2,2,2,2,0,0,2,1
"one.util.huntbugs.testdata.TestSwingProblems",21,1,2,3,3,0,0,1,0
"one.util.huntbugs.testdata.TestValuesFlow",21,1,1,4,4,0,0,2,0
"one.util.huntbugs.testdata.TestRedundantInterfaces",21,0,0,3,8,0,0,5,3
"one.util.huntbugs.repo.CompositeRepository",20,3,3,4,4,0,5,1,1
"one.util.huntbugs.testdata.TestEasyMockProblems",20,3,3,3,3,0,0,0,0
"one.util.huntbugs.testdata.TestEmptySync",20,2,2,2,2,0,0,1,0
"one.util.huntbugs.testdata.TestExceptionalExpression",20,2,2,2,1,0,0,2,0
"one.util.huntbugs.detect.UnreachableCatch",20,1,1,4,7,2,0,2,0
"one.util.huntbugs.FilteredRepositoryTest",20,1,1,1,7,4,0,4,0
"one.util.huntbugs.testdata.TestVolatileArray",20,1,1,3,2,0,0,1,3
"one.util.huntbugs.testdata.TestInitializerRefersSubclass",19,0,0,14,2,0,1,2,3
"one.util.huntbugs.sample.testdata.TestSampleCustomDetector",18,2,2,2,6,0,0,0,1
"one.util.huntbugs.sample.detect.SampleCustomDetector",18,1,1,2,7,2,0,2,0
"one.util.huntbugs.warning.rule.CompositeRule",17,2,2,3,2,1,2,2,1
"one.util.huntbugs.warning.rule.RegexRule",17,2,2,3,2,1,2,2,2
"one.util.huntbugs.testdata.TestDroppedExceptionObject",17,2,2,4,2,0,0,2,0
"one.util.huntbugs.flow.Dataflow",16,12,12,12,1,0,4,0,0
"one.util.huntbugs.warning.rule.CategoryRule",16,2,2,3,1,1,2,2,2
"one.util.huntbugs.util.TestIterables",16,1,1,1,3,0,0,0,0
"one.util.huntbugs.repo.AuxRepository",15,3,3,3,1,0,3,1,1
"one.util.huntbugs.testdata.TestNewGetClass",15,2,2,2,2,0,2,2,0
"one.util.huntbugs.sample.MyProductionCodeTest",15,2,2,2,3,0,0,0,1
"one.util.huntbugs.util.Maps",15,1,1,3,3,0,2,4,0
"one.util.huntbugs.OptionsTest",15,1,1,1,3,1,0,1,0
"one.util.huntbugs.testdata.TestJcipProblems",15,0,0,1,3,0,0,0,4
"one.util.huntbugs.output.CombinedReportWriter",13,2,2,2,2,0,0,1,1
"one.util.huntbugs.registry.FieldData",12,2,2,2,1,0,0,0,1
"one.util.huntbugs.sample.SampleHuntBugsPlugin",12,2,2,2,1,1,0,2,0
"one.util.huntbugs.flow.CodeBlock",12,1,1,1,1,0,6,0,3
"one.util.huntbugs.warning.rule.Rule",11,2,2,1,1,1,5,1,1
"one.util.huntbugs.testdata.sub.SubFieldAccess",11,0,0,1,1,1,0,2,2
"one.util.huntbugs.analysis.HuntBugsResult",9,3,3,3,3,2,8,2,0
"one.util.huntbugs.DataTest",9,1,1,1,2,1,0,1,0
"one.util.huntbugs.testdata.TestBadMethodReferences",9,1,1,1,2,0,0,2,0
"one.util.huntbugs.sample.DataTest",9,1,1,1,2,1,0,1,0
"one.util.huntbugs.flow.Inf",9,0,0,1,0,0,21,0,6
"one.util.huntbugs.flow.GraphSearch",8,3,3,3,2,0,1,0,0
"one.util.huntbugs.sample.MyProductionCode",8,1,1,1,2,0,1,0,0
"one.util.huntbugs.repo.RepositoryVisitor",5,2,2,2,0,0,2,0,0
"one.util.huntbugs.spi.HuntBugsPlugin",5,2,2,2,0,0,3,0,0
"one.util.huntbugs.analysis.AnalysisListener",5,1,1,1,0,0,0,0,0
"one.util.huntbugs.output.ReportWriter",5,1,1,1,1,0,3,0,0
