"method","loc","cyclo","calls","nbd","param"
"edu.umd.cs.findbugs.PluginLoader.constructMinimalPlugin(Document pluginDescriptor, List<Document> messageCollectionList)",92,18,47,5,2
"edu.umd.cs.findbugs.BugInstance.getAnnotationsForMessage(boolean showContext)",52,18,28,5,1
"edu.umd.cs.findbugs.detect.RuntimeExceptionCapture.visitAfter(Code obj)",49,18,11,5,1
"edu.umd.cs.findbugs.detect.IntCast2LongAsInstant.sawOpcode(int seen)",34,18,19,5,1
"edu.umd.cs.findbugs.classfile.impl.ClassPathBuilder.processWorkList(IClassPath classPath, LinkedList<WorkListItem> workList, IClassPathBuilderProgress progress)",99,18,50,4,3
"edu.umd.cs.findbugs.Analyze.deepInstanceOf(JavaClass x, JavaClass y)",73,18,28,4,2
"edu.umd.cs.findbugs.detect.CalledMethods.sawOpcode(int seen)",40,18,18,4,1
"edu.umd.cs.findbugs.classfile.engine.ClassParserUsingASM.parse(final ClassNameAndSuperclassInfo.Builder cBuilder)",183,18,14,3,1
"edu.umd.cs.findbugs.workflow.TestingGround.main(String[] args)",73,18,42,3,1
"edu.umd.cs.findbugs.gui2.MainFrameComponentFactory.bugSummaryComponent(BugAnnotation value, BugInstance bug)",67,18,36,3,2
"edu.umd.cs.findbugs.ba.jsr305.SourceSinkInfo.equals(Object obj)",49,18,5,2,1
"edu.umd.cs.findbugs.detect.AppendingToAnObjectOutputStream.sawOpcode(int seen)",38,18,27,2,1
"edu.umd.cs.findbugs.detect.EarlyExitException.sawCall(MethodCall methodCall, boolean finalPass)",47,17,15,8,2
"edu.umd.cs.findbugs.FindBugs2.configureFilters(UserPreferences userPreferences)",56,17,31,7,1
"edu.umd.cs.findbugs.detect.FindLocalSelfAssignment2.sawOpcode(int seen)",49,17,43,7,1
"edu.umd.cs.findbugs.ba.bcp.PatternMatcher.work(State state)",95,17,29,6,1
"edu.umd.cs.findbugs.ba.npe.NullDerefAndRedundantComparisonFinder.analyzeNullCheck(IsNullValueDataflow invDataflow, BasicBlock basicBlock)",77,17,36,5,2
"edu.umd.cs.findbugs.ba.IncompatibleTypes.getPriorityForAssumingCompatible(ObjectType expectedType, ObjectType actualType, boolean pointerEquality)",54,17,27,5,3
"edu.umd.cs.findbugs.detect.MethodReturnCheck.badUseOfCompareResult(Item left, Item right)",37,17,20,5,2
"edu.umd.cs.findbugs.detect.DumbMethods$InvalidMinMaxSubDetector.sawOpcode(int seen)",35,17,33,5,1
"edu.umd.cs.findbugs.detect.BuildCheckReturnAnnotationDatabase.visitAnnotation(@DottedClassName String annotationClassName, Map<String,ElementValue> map, boolean runtimeVisible)",65,17,32,4,3
"edu.umd.cs.findbugs.detect.CheckTypeQualifiers.checkValueSources(XMethod xMethod, CFG cfg, TypeQualifierValue<?> typeQualifierValue, ValueNumberDataflow vnaDataflow, ForwardTypeQualifierDataflow forwardDataflow, BackwardTypeQualifierDataflow backwardDataflow)",61,17,29,4,6
"edu.umd.cs.findbugs.detect.UnnecessaryMath.sawOpcode(int seen)",34,17,13,4,1
"edu.umd.cs.findbugs.ba.ClassContext.checkForBranchExit(byte[] codeBytes, int pos)",29,17,2,4,2
"edu.umd.cs.findbugs.detect.FindUncalledPrivateMethods.visitMethod(Method obj)",22,17,21,4,1
"edu.umd.cs.findbugs.detect.FindNonSerializableStoreIntoSession.analyzeMethod(ClassContext classContext, Method method)",82,17,35,3,2
"edu.umd.cs.findbugs.detect.StreamFrameModelingVisitor.instanceEscapes(InvokeInstruction inv, int instanceArgNum)",34,17,21,2,2
"edu.umd.cs.findbugs.detect.UnreadFields.isInjectionAttribute(@DottedClassName String annotationClass)",22,16,17,11,1
"edu.umd.cs.findbugs.detect.CallToUnconditionalThrower.analyzeMethod(ClassContext classContext, Method method)",82,16,33,5,2
