"method","loc","cyclo","calls","nbd","param"
"com.trevisan.umovandroid.service.DataCheckingService.getItemsWithHistoricalsOrdenatedByHistoricalsId(final Map<String,Map<Long,FieldHistorical>> historicalsByItems, Section section)",44,8,33,6,2
"com.trevisan.umovandroid.service.FieldHistoricalService.checkFieldHistoricalsIntegrity(ActivityHistorical activityHistorical, Task task)",44,8,24,6,2
"com.trevisan.umovandroid.service.DataCheckingService.createLayoutSectionWithItems(Section section, List<Item> items, List<Field> fields, TaskExecutionManager taskExecutionManager)",30,8,32,6,4
"com.trevisan.umovandroid.expressions.ActivityFieldManipulator.setValueToFieldAndItem(ExpressionValue value, Field field, Item item)",29,8,20,6,3
"com.trevisan.umovandroid.action.ActionActivityFieldsValidate.executeExpressions()",20,8,32,6,0
"com.trevisan.umovandroid.service.ItemService.filterByValidationExpression(List<Item> items, Section section, TaskExecutionManager taskExecutionManager, boolean calledFromSearchItems)",49,8,33,5,4
"com.trevisan.umovandroid.action.ActionSearchItemsMD.doAction()",39,8,48,5,0
"com.trevisan.umovandroid.view.materialdesign.ActivityTasksMD.groupingTasks()",37,8,25,5,0
"com.trevisan.umovandroid.action.ActionShowSections.doAction()",34,8,28,5,0
"com.trevisan.umovandroid.view.materialdesign.ActivityTasksMD.onKeyDown(int keyCode, KeyEvent event)",33,8,11,5,2
"com.trevisan.umovandroid.action.ActionFinalizeActivityTask1PrePhotos.validateSectionsWithAllItemsFilled()",32,8,21,5,0
"com.trevisan.umovandroid.service.ItemService.setItemFieldHistoricalsOnItemsAdapter(TextView fieldHistoricalsValues, Item item, Section section, boolean hasFieldHistoricalOnSection, Map<String,Map<Long,FieldHistorical>> fieldsHistoricalsByItemAndField, FieldHistoricalService fieldHistoricalService)",28,8,23,5,6
"com.trevisan.umovandroid.service.ItemService.loadItemsFromDatabase(ItemsLoadListener callback, Section section, ItemGroup itemGroup, Task task, int batchSize, int limit, TaskExecutionManager taskExecutionManager, Set<ItemOperandFieldType> itemFieldsUsedByExpressions, boolean mustUseCacheId, List<Long> itemCacheIds)",27,8,15,5,10
"com.trevisan.umovandroid.service.MediaHistoricalService.deleteMediaFileWithoutFieldHistorical(List<TTComponent> mediaTypeComponents, TaskExecutionManager taskExecutionManager)",22,8,16,5,2
"com.trevisan.umovandroid.service.RealimentationService.getFieldBySectionAndAlternativeId(final List<Field> fields, final Section section, final String alternativeId, boolean retrieveAllSectionsWhenFieldsStartWith)",17,8,8,5,4
"com.trevisan.umovandroid.service.TaskService.getHighestPriorityTasks(final List<Task> tasks)",16,8,12,5,1
"com.trevisan.umovandroid.action.ActionFinalizeActivityTask1PrePhotos.getIdsFromMandatoryFieldsWhenVisible(long sectionId)",15,8,15,5,1
"com.trevisan.umovandroid.action.ActionExecuteItem.doAction()",71,8,48,4,0
"com.trevisan.umovandroid.sync.HttpConnector.sendData(HttpURLConnection connection, byte[] dataToSend)",48,8,14,4,2
