"method","loc","cyclo","calls","nbd","param"
"com.puppycrawl.tools.checkstyle.JavadocPropertiesGenerator.formatInlineCodeTag(StringBuilder builder, DetailNode inlineTag)",34,9,10,3,2
"com.puppycrawl.tools.checkstyle.checks.whitespace.MethodParamPadCheck.visitToken(DetailAST ast)",30,9,17,3,1
"com.puppycrawl.tools.checkstyle.utils.ScopeUtil.getSurroundingScope(DetailAST node)",30,9,6,3,1
"com.puppycrawl.tools.checkstyle.checks.modifier.RedundantModifierCheck.processInterfaceOrAnnotation(DetailAST ast)",26,9,9,3,1
"com.puppycrawl.tools.checkstyle.checks.regexp.RegexpCheck.findMatch()",25,9,11,3,0
"com.puppycrawl.tools.checkstyle.checks.coding.EqualsAvoidNullCheck.visitToken(final DetailAST ast)",25,9,9,3,1
"com.puppycrawl.tools.checkstyle.checks.coding.EqualsAvoidNullCheck.leaveToken(DetailAST ast)",20,9,7,3,1
"com.puppycrawl.tools.checkstyle.checks.coding.RequireThisCheck.leaveToken(DetailAST ast)",16,9,2,3,1
"com.puppycrawl.tools.checkstyle.checks.indentation.commentsindentation.InputCommentsIndentationInSwitchBlock.foo13()",35,9,2,2,0
"com.puppycrawl.tools.checkstyle.checks.blocks.RightCurlyCheck$Details.getDetails(DetailAST ast)",27,9,5,2,1
"com.puppycrawl.tools.checkstyle.checks.naming.ConstantNameCheck.mustCheckName(DetailAST ast)",23,9,12,2,1
"com.puppycrawl.tools.checkstyle.checks.modifier.ClassMemberImpliedModifierCheck.visitToken(DetailAST ast)",21,9,9,2,1
"com.puppycrawl.tools.checkstyle.checks.AvoidEscapedUnicodeCharactersCheck.visitToken(DetailAST ast)",12,9,8,2,1
"com.puppycrawl.tools.checkstyle.checks.coding.fallthrough.InputFallThrough.multipleCasesOnOneLine()",11,9,0,2,0
"com.puppycrawl.tools.checkstyle.checks.naming.localvariablename.InputLocalVariableNameOneCharInitVarName.fooMethod()",36,9,2,1,0
"com.puppycrawl.tools.checkstyle.checks.indentation.indentation.InputIndentationInvalidDoWhileIndent.method1()",20,9,1,1,0
"com.puppycrawl.tools.checkstyle.checks.modifier.InterfaceMemberImpliedModifierCheck.processMethod(DetailAST ast)",18,9,9,1,1
"com.puppycrawl.tools.checkstyle.checks.coding.innerassignment.InputInnerAssignment.demoBug1195047Comment3()",17,9,0,1,0
"com.puppycrawl.tools.checkstyle.checks.annotation.suppresswarnings.Cond.seriously()",6,9,0,0,0
"com.puppycrawl.tools.checkstyle.checks.metrics.npathcomplexity.InputNPathComplexityDefault2.seriously()",4,9,0,0,0
"com.puppycrawl.tools.checkstyle.internal.XdocsPagesTest.validateErrorSection(String fileName, String sectionName, Node subSection, Object instance)",56,8,30,7,4
