"namespace","noc","nac"
"com.puppycrawl.tools.checkstyle.checks.regexp.regexpsingleline",1,0
"com.puppycrawl.tools.checkstyle.checks.sizes.anoninnerlength",1,0
"com.puppycrawl.tools.checkstyle.checks.sizes.executablestatementcount",1,0
"com.puppycrawl.tools.checkstyle.checks.sizes.filelength",1,0
"com.puppycrawl.tools.checkstyle.checks.todocomment",1,0
"com.puppycrawl.tools.checkstyle.checks.trailingcomment",1,0
"com.puppycrawl.tools.checkstyle.checks.upperell",1,0
"com.puppycrawl.tools.checkstyle.checks.whitespace.emptyforiteratorpad",1,0
"com.puppycrawl.tools.checkstyle.checks.whitespace.emptylineseparator.packageinfo.test1",1,0
"com.puppycrawl.tools.checkstyle.checks.whitespace.emptylineseparator.packageinfo.test2",1,0
"com.puppycrawl.tools.checkstyle.checks.whitespace.emptylineseparator.packageinfo.test3",1,0
"com.puppycrawl.tools.checkstyle.checks.whitespace.emptylineseparator.packageinfo.test4",1,0
"com.puppycrawl.tools.checkstyle.checks.whitespace.filetabcharacter",1,0
"com.puppycrawl.tools.checkstyle.detailastimpl",1,0
"com.puppycrawl.tools.checkstyle.filters.suppressionsinglefilter",1,0
"com.puppycrawl.tools.checkstyle.filters.suppressionxpathfilter",1,0
"com.puppycrawl.tools.checkstyle.filters.suppressionxpathsinglefilter",1,0
"com.puppycrawl.tools.checkstyle.filters.xpathfilterelement",1,0
"com.puppycrawl.tools.checkstyle.gui.codeselectorpresentation",1,0
"com.puppycrawl.tools.checkstyle.gui.mainframemodel",1,0
"com.puppycrawl.tools.checkstyle.gui.parsetreetablepresentation",1,0
"com.puppycrawl.tools.checkstyle.javadocdetailnodeparser",1,0
"com.puppycrawl.tools.checkstyle.packagenamesloader",1,0
"com.puppycrawl.tools.checkstyle.packageobjectfactory.bar",1,0
"com.puppycrawl.tools.checkstyle.packageobjectfactory.foo",1,0
"com.puppycrawl.tools.checkstyle.suppressionsstringprinter",1,0
