"method","loc","cyclo","calls","nbd","param"
"br.com.trevisantecnologia.centerweb.model.WeekdaysServiceLocalActivity.hashCode()",12,8,0,0,0
"br.com.trevisantecnologia.centerweb.controller.ActivityExecutionController.createSchedule(final Long agentId, final Long activityId, final Long serviceLocalId)",42,7,32,8,3
"br.com.trevisantecnologia.centerweb.controller.ActivityExecutionController.save(final List<ExecutionValue> executionValues, final Long sectionId, final List<ExecutionValue> filledItems)",37,7,35,8,3
"br.com.trevisantecnologia.centerweb.service.ActivityExecutionService.initFieldsHistory(final ActivityHistory activityHistory)",29,7,13,7,1
"br.com.trevisantecnologia.centerweb.util.ExecutionUtils.retrieveSectionFieldsIdsWithMathExpressions(final Activity activity, final ExpressionParser expressionParser)",27,7,18,7,2
"br.com.trevisantecnologia.centerweb.service.ActivityExecutionService.applyValuesOnExecutionItemFromActivityHistoryItem(final ExecutionItem executionItem, final List<ActivityHistoryItem> historyItems)",12,7,8,7,2
"br.com.trevisantecnologia.centerweb.geo.geocoder.Base64.decode(String s, int options)",82,7,10,5,2
"br.com.trevisantecnologia.centerweb.geo.geocoder.Base64.encode3to4(byte[] source, int srcOffset, int numSigBytes, byte[] destination, int destOffset, int options)",73,7,1,5,6
"br.com.trevisantecnologia.centerweb.umobutilitieslib.impl.FieldManagerImpl.getFieldHistory(final SectionField sectionField)",33,7,12,5,1
"br.com.trevisantecnologia.centerweb.service.TrackingService.setPlanningSchedules(final List<Schedule> schedules, final MilestoneProtocol milestoneProtocol, final Activity activity)",31,7,25,5,3
"br.com.trevisantecnologia.centerweb.service.ServiceLocalService.validateItems(ServiceLocal serviceLocal)",25,7,20,5,1
"br.com.trevisantecnologia.centerweb.service.ScheduleService.validateActivitiesOrigin(Schedule schedule)",18,7,10,5,1
"br.com.trevisantecnologia.centerweb.service.ActivityService.isMalFormattedActivity(Activity activity)",14,7,7,5,1
"br.com.trevisantecnologia.centerweb.service.ScheduleService.isScheduleValidToBeAMarker(Schedule schedule)",14,7,3,5,1
"br.com.trevisantecnologia.centerweb.service.ScheduleService.isValidSearch(Schedule schedule, Long filterId, MessagePool messagePool)",10,7,10,5,3
"br.com.trevisantecnologia.centerweb.service.ActivityHistoryItemService.formatHistoricalFieldValue(final ActivityHistoryItem activityHistoryItem)",31,7,27,4,1
"br.com.trevisantecnologia.centerweb.service.SectionFieldService.sortSectionFields(Long sectionId, Long[] fields)",26,7,4,4,2
"br.com.trevisantecnologia.centerweb.service.GeoCoordinateService.setDefaultValues(Long id, GeoCoordinate entity)",16,7,18,4,2
"br.com.trevisantecnologia.centerweb.service.SectionFieldService.getFirstSectionFieldReferencedOnExpressions(List<MathExpression> mathExpressions, List<LogicalExpression> logicalExpressions, Long sectionFieldId)",15,7,16,4,3
"br.com.trevisantecnologia.centerweb.business.ActivityExportLayoutValidator.hasSectionFields(ActivityExportLayout activityExportLayout)",13,7,6,4,1
"br.com.trevisantecnologia.centerweb.service.IdiomEntryService.findAllScreens()",71,7,17,3,0
"br.com.trevisantecnologia.centerweb.controller.SectionController.delete(Long activityId, Long sectionId)",42,7,29,3,2
"br.com.trevisantecnologia.centerweb.controller.SectionController.save(Activity activity, Section section, List<CustomField> customFields)",38,7,43,3,3
"br.com.trevisantecnologia.centerweb.persistence.ExampleCreator.createExample(Object obj, SearchOptions options)",23,7,20,3,2
"br.com.trevisantecnologia.centerweb.service.CustomFieldService.prepareCustomFieldsFilters(CustomFieldedEntity customFieldEntity, CustomEntity customEntityFilter)",23,7,15,3,2
"br.com.trevisantecnologia.centerweb.controller.ItineraryServiceLocalController.verifyAndApplySpecificOrder(List<ItineraryServiceLocal> lst)",23,7,9,3,1
"br.com.trevisantecnologia.centerweb.controller.SectionController.validateAncestorSections(Activity activity, AjaxResponse response, Long sectionId)",17,7,19,3,3
"br.com.trevisantecnologia.centerweb.service.GraphicService.findAllCharts()",17,7,11,3,0
"br.com.trevisantecnologia.centerweb.controller.ExportLayoutPopupController.verify(ExportLayout exportLayout, List<ExportLayoutField> layoutFields)",10,7,4,3,2
"br.com.trevisantecnologia.centerweb.chart.JFreeChartAdapterImpl.createDynamicChart(TTChart chartRequest)",73,7,31,2,1
"br.com.trevisantecnologia.centerweb.chart.PieRenderer.setColor(final PiePlot plot, final DefaultPieDataset dataset)",43,7,29,2,2
"br.com.trevisantecnologia.centerweb.chart.JFreeChartAdapterImpl.bindPieDataSet(List<ScheduleSummary> dataSource)",36,7,25,2,1
"br.com.trevisantecnologia.centerweb.dao.ScheduleExportDao.addAdditionalCriteria(Criteria criteria, ScheduleExport instance, SearchOptions options)",34,7,31,2,3
"br.com.trevisantecnologia.centerweb.dao.impl.SectionFieldHibernateDaoImpl.getFieldsByActivityId(Long activityId, Long excludeFieldId, String[] fieldType, String[] excludeFieldType)",34,7,21,2,4
"br.com.trevisantecnologia.centerweb.service.LogicalExpressionService.fieldBuildList(String moment, Activity activity, List<ListItem> list)",32,7,19,2,3
"br.com.trevisantecnologia.centerweb.serialization.converter.util.ListModelConverter.marshal(Object reference, HierarchicalStreamWriter writer, MarshallingContext context)",28,7,15,2,3
"br.com.trevisantecnologia.umob.map.RouteMarkerListFactory.extractAddress(final ServiceLocal serviceLocal)",27,7,25,2,1
"br.com.trevisantecnologia.centerweb.chart.JFreeChartAdapterImpl.bindDataSetPercentageMode(List<ScheduleSummary> dataSource)",25,7,30,2,1
"br.com.trevisantecnologia.centerweb.chart.JFreeChartAdapterImpl.bindDataSet(List<ScheduleSummary> dataSource)",24,7,30,2,1
"br.com.trevisantecnologia.centerweb.dao.impl.AgentHibernateDaoImpl.getAvailableAgentCriteria(Agent agent, Long[] selectedList, Integer limitList)",24,7,28,2,3
"br.com.trevisantecnologia.centerweb.interceptor.DefaultHibernateTransactionInterceptor.doIntercept(InterceptorStack stack, ResourceMethod method, Object instance)",24,7,10,2,3
"br.com.trevisantecnologia.centerweb.util.Miscelaneous.calcDigVerif(String num)",23,7,9,2,1
"br.com.trevisantecnologia.centerweb.dao.SectionSubGroupDao.getCriteriaAvailableSubGroups(Long sectionId, Session session, SubGroup subGroupFilter)",22,7,31,2,3
"br.com.trevisantecnologia.centerweb.service.ItineraryService.mountAddress(final ServiceLocal local)",22,7,24,2,1
"br.com.trevisantecnologia.centerweb.service.SectionSubGroupService.validate(SectionSubGroup sectionSubGroup)",21,7,16,2,1
"br.com.trevisantecnologia.centerweb.dao.SectionSubGroupDao.getSelectedSubGroupCriteria(Long sectionId, SubGroup subGroupFilter)",20,7,22,2,2
"br.com.trevisantecnologia.centerweb.api.service.ApiScheduleRoutingService.validateAndLoadSchedule(ScheduleRouting routing, Schedule schedule, List<Schedule> currentSchedules)",20,7,17,2,3
"br.com.trevisantecnologia.centerweb.controller.AppearanceControllerTest.compareAppearanceAttributesForReset(Appearance appearance, Appearance replacementAppearance)",20,7,15,2,2
"br.com.trevisantecnologia.centerweb.service.ItemService.validate(Item item)",19,7,11,2,1
"br.com.trevisantecnologia.centerweb.business.ClientValidator.verifyMatchingClientForCopy(Client client)",15,7,10,2,1
